EP001	EP002	EP003	EP004	EP005	EP006	EP007	EP008	EP009	EP010	EP011	EP012	EP013	EP014	EP015	EP016	EP017	EP018	EP019	EP020	EP021	EP022	EP023	EP024	EP025	EP026	EP027	EP028	EP029	EP030	EP031	EP032	EP033	EP034	EP035	EP036	EP037	EP038	EP039	EP040	EP041	EP042	EP043	EP044	EP045	EP046	EP047	EP048	EP049	EP050	EP051	EP052	EP053	EP054	EP055	EP056	EP057	EP058	EP059	EP060	EP061	EP062	EP063	EP064	EP065	EP066	EP067	EP068	EP069	EP070	EP071	EP072	EP073	EP074	EP075	EP076	EP077	EP078	EP079	EP080	EP081	EP082	EP083	EP084	EP085	EP086	EP087	EP088	EP089	EP090	EP091	EP092	EP093	EP094	EP095	EP096	EP097	EP098	EP099	EP100	EP101	EP102	EP103	EP104
cg03180780	0.07813	0.07365	0.63949	0.23527	0.53804	0.28613	0.50207	0.21258	0.48243	0.58985	0.11233	0.11386	0.41468	0.71431	0.08665	0.43941	0.62985	0.09397	0.57647	0.07852	0.63522	0.25479	0.2511	0.35836	0.11017	0.06454	0.07949	0.48945	0.10566	0.12013	0.6598	0.5021	0.27613	0.60797	0.08463	0.23737	0.16477	0.09592	0.29789	0.07766	0.19346	0.27671	0.44508	0.24489	0.58247	0.3173	0.13504	0.30841	0.07216	0.11977	0.07145	0.06251	0.08563	0.18272	0.18264	0.53032	0.37466	0.14491	0.64053	0.11903	0.63504	0.14197	0.10227	0.24514	0.19714	0.07868	0.65795	0.10578	0.088	0.37328	0.59395	0.64962	0.10106	0.0886	0.58395	0.15359	0.17556	0.47422	0.08129	0.62084	0.49175	0.08537	0.29407	0.1961	0.31475	0.08586	0.48292	0.07086	0.08362	0.42489	0.09603	0.63358	0.28829	0.13208	0.55719	0.08418	0.06364	0.67711	0.31059	0.34286	0.28502	0.44514	0.07346	0.3785
cg16652920	0.8858	0.59926	0.89793	0.91792	0.54532	0.89254	0.90906	0.90658	0.0819	0.54421	0.70183	0.90425	0.90103	0.9056	0.56589	0.90581	0.88918	0.91113	0.90554	0.89707	0.88953	0.90955	0.609	0.90241	0.90068	0.90155	0.54945	0.90132	0.90787	0.88589	0.89534	0.51701	0.50842	0.8882	0.91687	0.89592	0.89997	0.89934	0.54846	0.07898	0.91191	0.52988	0.90467	0.53376	0.90994	0.90596	0.54381	0.8875	0.91117	0.9129	0.91105	0.91653	0.90495	0.91496	0.55963	0.52365	0.90834	0.91627	0.90823	0.90441	0.92026	0.91398	0.53509	0.91854	0.53212	0.9116	0.87265	0.92205	0.88735	0.8917	0.90854	0.91507	0.9051	0.56456	0.91576	0.54698	0.57853	0.46677	0.90728	0.90717	0.88175	0.90362	0.54899	0.57068	0.91837	0.54525	0.91726	0.90364	0.91259	0.89836	0.90026	0.9253	0.88863	0.91328	0.07143	0.91791	0.57978	0.90801	0.5507	0.54024	0.90456	0.90568	0.53923	0.89434
cg07091412	0.49875	0.17978	0.38659	0.38849	0.58115	0.19864	0.63029	0.38496	0.44919	0.10148	0.59795	0.4731	0.57493	0.68737	0.50207	0.39555	0.64347	0.12019	0.70382	0.54131	0.08787	0.1328	0.40672	0.56576	0.5244	0.50607	0.08084	0.07472	0.49474	0.20422	0.62348	0.56873	0.10875	0.10668	0.08002	0.28706	0.72002	0.07444	0.08686	0.13505	0.13206	0.63836	0.5572	0.3054	0.71479	0.11136	0.07221	0.2822	0.11141	0.25926	0.13309	0.59702	0.17885	0.18752	0.10159	0.41256	0.16425	0.54923	0.49235	0.64259	0.10741	0.44824	0.11348	0.51869	0.15143	0.17106	0.4461	0.33596	0.07976	0.28517	0.62126	0.36057	0.49274	0.53818	0.43133	0.16827	0.31671	0.65845	0.19208	0.08895	0.52857	0.20766	0.09885	0.51328	0.11131	0.46948	0.66653	0.5705	0.56565	0.50945	0.27615	0.1918	0.6704	0.19981	0.52339	0.20132	0.59147	0.07428	0.18341	0.09388	0.23133	0.22716	0.3481	0.33395
cg25303761	0.70613	0.7444	0.70108	0.47571	0.67322	0.43842	0.47002	0.4786	0.45597	0.48945	0.15989	0.73286	0.18732	0.72931	0.15678	0.70937	0.47357	0.47505	0.49905	0.13356	0.46527	0.46029	0.49435	0.17849	0.17877	0.7846	0.48265	0.47308	0.70963	0.1839	0.49198	0.47101	0.45135	0.16653	0.14995	0.45298	0.47051	0.48402	0.51458	0.1891	0.73296	0.70065	0.17262	0.73431	0.15907	0.19541	0.12791	0.7126	0.73779	0.75696	0.47664	0.17132	0.47501	0.31712	0.45835	0.76189	0.44497	0.18686	0.15225	0.45439	0.17731	0.47709	0.16129	0.48696	0.46865	0.8016	0.47237	0.74333	0.74261	0.71539	0.49564	0.47253	0.21816	0.68966	0.72089	0.17948	0.65457	0.75013	0.30144	0.12745	0.67094	0.71077	0.17423	0.16048	0.45497	0.4518	0.49515	0.16081	0.13583	0.20557	0.4617	0.73932	0.73788	0.24823	0.48149	0.75467	0.15681	0.15437	0.47759	0.45986	0.21947	0.45898	0.47025	0.48938
cg05226707	0.29698	0.65257	0.43995	0.23398	0.28569	0.12714	0.5118	0.50192	0.19778	0.26256	0.77586	0.45872	0.37368	0.78693	0.33969	0.32423	0.52025	0.09184	0.73563	0.15027	0.1293	0.12663	0.51544	0.13807	0.16524	0.29572	0.49445	0.13277	0.64451	0.16252	0.73924	0.64933	0.13519	0.43861	0.11857	0.19624	0.68245	0.12894	0.71744	0.13455	0.13613	0.60803	0.14142	0.18279	0.60567	0.1091	0.10227	0.25424	0.11751	0.11555	0.28338	0.43102	0.17337	0.10049	0.09872	0.37777	0.10762	0.34399	0.63957	0.43311	0.14835	0.53587	0.45755	0.15333	0.09417	0.17605	0.30066	0.10407	0.52172	0.18864	0.12652	0.17371	0.14054	0.35621	0.25151	0.10613	0.23867	0.42132	0.29521	0.53311	0.38714	0.37639	0.11746	0.63135	0.23229	0.53099	0.68364	0.12085	0.68224	0.46796	0.12418	0.64629	0.68375	0.12697	0.10385	0.2878	0.69357	0.45573	0.41174	0.57904	0.36034	0.65832	0.50289	0.13921
cg22795212	0.44648	0.70386	0.64093	0.28036	0.4264	0.65906	0.47022	0.69837	0.08888	0.40323	0.74894	0.65947	0.09792	0.67525	0.1204	0.42809	0.47578	0.40951	0.71131	0.3901	0.65254	0.44567	0.52629	0.27328	0.25329	0.12281	0.59842	0.49246	0.12134	0.57442	0.67972	0.34285	0.3411	0.54271	0.65387	0.17225	0.10333	0.66929	0.70617	0.10816	0.10864	0.29715	0.36638	0.31611	0.59303	0.48763	0.53055	0.59124	0.09417	0.61595	0.11406	0.56073	0.09922	0.29111	0.59543	0.6803	0.3241	0.10159	0.51538	0.49483	0.56689	0.12126	0.25206	0.53987	0.14849	0.1051	0.67137	0.12694	0.50264	0.22218	0.51819	0.37428	0.16362	0.318	0.40109	0.15672	0.22176	0.66757	0.10067	0.47725	0.28306	0.65279	0.10978	0.10699	0.11321	0.18123	0.44041	0.66517	0.5141	0.64247	0.11067	0.13675	0.19224	0.23108	0.21211	0.43393	0.09962	0.68597	0.42439	0.48086	0.24393	0.67533	0.49636	0.3437
cg18085998	0.56973	0.65212	0.64311	0.41353	0.54699	0.63526	0.54	0.62795	0.07928	0.51049	0.66084	0.6542	0.05866	0.61928	0.12657	0.54088	0.5181	0.52564	0.67484	0.54374	0.60841	0.54773	0.58329	0.46284	0.44271	0.10881	0.61092	0.51036	0.12485	0.61239	0.64556	0.38997	0.43592	0.59335	0.6422	0.30885	0.10443	0.65502	0.61683	0.07731	0.09341	0.43824	0.50765	0.46034	0.67078	0.54259	0.58257	0.59922	0.06323	0.58613	0.07886	0.57061	0.075	0.29466	0.59336	0.66607	0.43058	0.068	0.54984	0.54522	0.56061	0.35269	0.30241	0.53574	0.13237	0.06202	0.64141	0.13241	0.55557	0.34024	0.59186	0.46631	0.05422	0.49737	0.49375	0.18676	0.39168	0.6528	0.06211	0.56494	0.40779	0.61446	0.06495	0.06946	0.08011	0.37509	0.52347	0.62902	0.55072	0.60183	0.1102	0.06194	0.49665	0.43364	0.31181	0.50817	0.07166	0.64823	0.53405	0.54927	0.43192	0.60706	0.54358	0.43359
cg24051749	0.61147	0.47934	0.3284	0.06901	0.31857	0.39299	0.37662	0.70463	0.65451	0.62598	0.4863	0.32284	0.6123	0.4629	0.68747	0.06063	0.31585	0.42179	0.65624	0.66031	0.61989	0.26411	0.41581	0.06519	0.65177	0.35101	0.53626	0.07244	0.06891	0.39891	0.39803	0.74772	0.36516	0.38811	0.69484	0.66982	0.05874	0.3687	0.38695	0.66057	0.6815	0.3786	0.3639	0.0674	0.06189	0.35323	0.64076	0.41137	0.06726	0.61513	0.56126	0.05782	0.32676	0.31545	0.37246	0.48209	0.59283	0.55293	0.67016	0.58679	0.59478	0.40607	0.62541	0.60095	0.32917	0.06815	0.55638	0.57001	0.31672	0.09439	0.63347	0.38289	0.59778	0.62255	0.64254	0.38103	0.55771	0.35225	0.54479	0.34837	0.62275	0.39208	0.06012	0.37031	0.38395	0.67214	0.40184	0.05581	0.05788	0.35002	0.44703	0.7182	0.61594	0.39686	0.41903	0.57047	0.41722	0.3095	0.68623	0.68734	0.05972	0.05881	0.05925	0.38672
cg12666727	0.47127	0.09461	0.64157	0.30729	0.14764	0.58865	0.63267	0.64094	0.16487	0.56899	0.0768	0.10565	0.24242	0.47191	0.50854	0.45922	0.46716	0.10492	0.38693	0.19524	0.17392	0.31597	0.08744	0.20847	0.15552	0.5694	0.50549	0.15919	0.37828	0.11418	0.67232	0.53228	0.14489	0.35827	0.0935	0.27236	0.05854	0.13251	0.0874	0.08819	0.09001	0.62169	0.37202	0.18803	0.67778	0.06772	0.06532	0.11078	0.07549	0.55672	0.0926	0.32731	0.11088	0.30709	0.249	0.53609	0.1136	0.29334	0.57181	0.6209	0.4744	0.44875	0.3041	0.50685	0.08982	0.41242	0.4746	0.1035	0.06733	0.15999	0.5377	0.64013	0.09003	0.13853	0.38871	0.22172	0.36466	0.64328	0.07281	0.54584	0.29595	0.10453	0.0733	0.5928	0.32226	0.48063	0.59485	0.06618	0.55637	0.42668	0.14505	0.11	0.10464	0.10168	0.57539	0.09669	0.52762	0.60797	0.09928	0.07802	0.10925	0.61251	0.07078	0.31511
cg00788461	0.13853	0.45662	0.64338	0.33263	0.45082	0.69721	0.19925	0.31691	0.53376	0.57752	0.62818	0.64887	0.19186	0.46826	0.26491	0.48019	0.51839	0.39251	0.09535	0.49031	0.60015	0.2405	0.42251	0.50848	0.54852	0.08967	0.15925	0.49677	0.09219	0.60644	0.14758	0.59792	0.57612	0.08876	0.22184	0.19205	0.1346	0.49302	0.09015	0.14511	0.10822	0.3098	0.49048	0.35685	0.14161	0.58958	0.10043	0.31681	0.09363	0.27271	0.08833	0.09157	0.13303	0.19732	0.30387	0.46646	0.42826	0.10838	0.18636	0.60329	0.4712	0.09014	0.09849	0.23268	0.30703	0.10595	0.6241	0.45867	0.49721	0.36063	0.55998	0.51704	0.35714	0.35866	0.29814	0.31902	0.27676	0.12627	0.10216	0.55575	0.09339	0.48033	0.47025	0.50626	0.16168	0.08784	0.13328	0.50104	0.70197	0.54291	0.09396	0.11052	0.09615	0.10834	0.13731	0.09268	0.08787	0.5963	0.11325	0.277	0.2011	0.63391	0.15137	0.15269
